,Precio,Marca,Modelo,Año,Color,Tipo_de_combustible,Puertas,Transmision,Motor,Tipo_de_carroceria,Km
0,"289,000",Audi,A6,2007,Gris,Gasolina,4,Automática,4.2,Convertible,70000 km
1,"420,000",Mazda,MX-5,2018,Gris,Gasolina,2,Automática,2.0,Convertible,32100 km
2,"839,900",Mercedes-Benz,Clase C,2019,Negro,Gasolina,4,Automática,2.0,Convertible,6000 km
3,"1,449,000",Porsche,Carrera,1982,Blanco,Gasolina,2,Manual,B6,Convertible,226500 km
4,"1,179,000",BMW,Serie 4,2018,Blanco,Gasolina,2,Automática,3.0,Convertible,13966 km
5,"322,500",BMW,Z4,2009,Blanco,Gasolina,2,Automática,2.5,Convertible,34700 km
6,"1,650,000",Porsche,Boxster,2016,Blanco,Gasolina,2,Manual,3.8,Convertible,17000 km
7,"202,000",Dodge,Caliber,2009,Gasolina,5,Manual,2.4,Convertible,80000 km,
8,"2,490,000",Maserati,GRAN TURISMO,2014,Azul,Gasolina,2,Automática secuencial,V8 4.7L,Convertible,6400 km
9,"385,000",Chevrolet,Camaro,2013,Gris,Gasolina,2,Automática,3.6,Convertible,61000 km
10,"409,000",Mazda,MX-5,2019,Rojo,Gasolina,2,Manual,2.0,Convertible,22000 km
11,"279,800",Nissan,Murano,2014,Gasolina,5,Manual,3.5,Convertible,78560 km,
12,"185,500",Smart,Fortwo,2015,Gris,Gasolina,2,Automática,1.0,Convertible,62947 km
13,"179,900",BMW,Z4,2003,Gasolina,2,Automática,V6,Convertible,68000 km,
14,"220,000",BMW,Serie 3,2008,Gris,Gasolina,2,Automática,335,Convertible,59000 km
15,"585,000",BMW,M5,2013,Negro,Gasolina,4,Automática,4.4,Convertible,59410 km
16,"435,000",Audi,S5,2009,Gasolina,2,Automática,4.2,Convertible,64000 km,
17,"1,149,000",Dodge,Viper,2000,Rojo,Gasolina,2,Manual,V10 8.0L,Convertible,35500 km
18,"279,000",Nissan,Murano,2014,Blanco,Gasolina,5,Automática,3.5,Convertible,96968 km
19,"317,900",Audi,A5,2012,Rojo,Gasolina,2,Automática,3.0,Convertible,66583 km
20,"434,000",Ford,Transit,2017,Blanco,Gasolina,4,Automática,3.7,Furgoneta,74228 km
21,"550,000",RAM,Promaster,2020,Blanco,Gasolina,4,Automática,3.6,Furgoneta,43098 km
22,"360,000",RAM,Promaster,2016,Blanco,Gasolina,4,Automática,3.6,Furgoneta,64500 km
23,"385,000",RAM,Promaster,2017,Blanco,Gasolina,4,Automática,3.7,Furgoneta,62000 km
24,"439,000",Chevrolet,Express,2017,Blanco,Gasolina,2,Automática,6.0,Furgoneta,37388 km
25,"520,000",RAM,Promaster,2019,Blanco,Gasolina,4,Automática,3.6,Furgoneta,53471 km
26,"385,000",RAM,Promaster,2017,Blanco,Gasolina,2,Automática,3.6,Furgoneta,70074 km
27,"385,000",RAM,Promaster,2017,Blanco,Gasolina,2,Automática,3.6,Furgoneta,75632 km
28,"385,000",RAM,Promaster,2017,Blanco,Gasolina,2,Automática,3.6,Furgoneta,61936 km
29,"385,000",RAM,Promaster,2017,Blanco,Gasolina,2,Automática,3.6,Furgoneta,70954 km
30,"385,000",RAM,Promaster,2017,Blanco,Gasolina,2,Automática,3.6,Furgoneta,72366 km
31,"385,000",RAM,Promaster,2017,Blanco,Gasolina,2,Automática,3.6,Furgoneta,75108 km
32,"399,000",RAM,Promaster,2017,Blanco,Gasolina,2,Automática,3.7,Furgoneta,62000 km
33,"499,900",Ford,Transit,2018,Blanco,Gasolina,4,Automática,3.8,Furgoneta,64264 km
34,"240,000",RAM,Promaster Rapid,2019,Blanco,Gasolina,2,Manual,1.4,Furgoneta,93366 km
35,"699,000",Volkswagen,Crafter,2017,Blanco,Diésel,3,Manual,2.0,Furgoneta,125205 km
36,"580,000",Ford,Transit,2020,Blanco,Gasolina,4,Automática,3.7,Furgoneta,36837 km
37,"421,000",Ford,Transit,2017,Blanco,Gasolina,4,Automática,3.7,Furgoneta,74350 km
38,"421,000",Ford,Transit,2017,Gris,Gasolina,4,Automática,3.7,Furgoneta,78410 km
39,"580,000",Ford,Transit,2020,Blanco,Gasolina,5,Automática,3.5,Furgoneta,21590 km
40,"499,900",Ford,Transit,2018,Blanco,Gasolina,4,Automática,3.8,Furgoneta,64264 km
41,"232,500",Renault,Kangoo,2017,Blanco,Gasolina,2,Manual,1.6,Furgoneta,78000 km
42,"468,900",Volkswagen,Caddy,2020,Gris,Gasolina,5,Manual,1.6,Furgoneta,22000 km
43,"434,900",Ford,Transit,2017,Blanco,Gasolina,4,Automática,3.7,Furgoneta,74673 km
44,"470,000",Ford,F-350,2017,Blanco,Gasolina,2,Manual,6.3,Furgoneta,59163 km
45,"185,500",Hyundai,H100 WAGON,2012,Blanco,Diésel,5,Manual,2.5 turbo disel,Furgoneta,123000 km
46,"499,900",Ford,Transit,2018,Blanco,Gasolina,4,Automática,3.7,Furgoneta,64264 km
47,"439,000",Toyota,Hiace,2019,Blanco,Gasolina,2,Manual,2.7,Furgoneta,67817 km
48,"499,900",Ford,Transit,2018,Blanco,Gasolina,4,Automática,3.7,Furgoneta,63227 km
49,"434,900",Ford,Transit,2017,Blanco,Gasolina,4,Automática,3.7,Furgoneta,74673 km
